2024-06-05 14:32:20.451 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 14:32:20.610 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 14:32:21.177 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 14:32:21.177 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 14:32:21.178 -05:00 [INF] INICIO | PendientesRepository - cambiarEstadoEnSubsanacion
2024-06-05 14:32:21.182 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 14:32:21.182 -05:00 [INF] FIN | PendientesRepository - cambiarEstadoEnSubsanacion
2024-06-05 14:32:21.184 -05:00 [INF] INICIO | PendientesRepository - cambiarEstadoNegado
2024-06-05 14:32:21.185 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 14:32:21.185 -05:00 [INF] FIN | PendientesRepository - cambiarEstadoNegado
2024-06-05 14:32:21.186 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoVueltaASubir
2024-06-05 14:32:21.186 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 14:32:21.186 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoVueltaASubir
2024-06-05 14:32:21.187 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoAprobado
2024-06-05 14:32:21.187 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 14:32:21.187 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoAprobado
2024-06-05 14:32:21.187 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 18:21:04.076 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 18:21:04.162 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 18:21:04.382 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 18:22:31.234 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 18:22:31.234 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 18:22:31.252 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 18:32:22.881 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 19:19:33.437 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 21:02:04.781 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 21:02:04.969 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 21:02:05.291 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 21:02:59.476 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 21:02:59.476 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 21:02:59.489 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 21:08:07.276 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 21:08:07.276 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 21:08:07.282 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:32:52.765 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 22:32:52.769 -05:00 [INF] INICIO | PendientesRepository - cambiarEstadoEnSubsanacion
2024-06-05 22:32:53.079 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:32:53.079 -05:00 [INF] FIN | PendientesRepository - cambiarEstadoEnSubsanacion
2024-06-05 22:32:53.080 -05:00 [INF] INICIO | PendientesRepository - cambiarEstadoNegado
2024-06-05 22:32:53.972 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:32:53.972 -05:00 [INF] FIN | PendientesRepository - cambiarEstadoNegado
2024-06-05 22:32:53.973 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoVueltaASubir
2024-06-05 22:32:53.973 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:32:53.973 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoVueltaASubir
2024-06-05 22:32:53.974 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoAprobado
2024-06-05 22:32:53.975 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:32:53.975 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoAprobado
2024-06-05 22:32:53.975 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 22:32:54.032 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 22:32:54.032 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 22:32:54.034 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:33:03.666 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 22:33:03.667 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 22:33:04.363 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:33:27.465 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 22:33:27.465 -05:00 [INF] INICIO | PendientesRepository - cambiarEstadoEnSubsanacion
2024-06-05 22:33:27.499 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:33:27.499 -05:00 [INF] FIN | PendientesRepository - cambiarEstadoEnSubsanacion
2024-06-05 22:33:27.499 -05:00 [INF] INICIO | PendientesRepository - cambiarEstadoNegado
2024-06-05 22:33:27.503 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:33:27.505 -05:00 [INF] FIN | PendientesRepository - cambiarEstadoNegado
2024-06-05 22:33:27.505 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoVueltaASubir
2024-06-05 22:33:27.507 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:33:27.508 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoVueltaASubir
2024-06-05 22:33:27.508 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoAprobado
2024-06-05 22:33:27.510 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:33:27.511 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoAprobado
2024-06-05 22:33:27.511 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 22:40:40.426 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 22:40:40.427 -05:00 [INF] INICIO | PendientesRepository - cambiarEstadoEnSubsanacion
2024-06-05 22:40:40.486 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:40:40.486 -05:00 [INF] FIN | PendientesRepository - cambiarEstadoEnSubsanacion
2024-06-05 22:40:40.486 -05:00 [INF] INICIO | PendientesRepository - cambiarEstadoNegado
2024-06-05 22:40:40.487 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:40:40.487 -05:00 [INF] FIN | PendientesRepository - cambiarEstadoNegado
2024-06-05 22:40:40.487 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoVueltaASubir
2024-06-05 22:40:40.488 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:40:40.488 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoVueltaASubir
2024-06-05 22:40:40.488 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoAprobado
2024-06-05 22:40:40.489 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:40:40.489 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoAprobado
2024-06-05 22:40:40.489 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 22:41:00.298 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 22:41:00.298 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 22:41:00.320 -05:00 [INF] FIN | Database - ExecuteReaderAsync
