2024-06-14 23:04:28.022 -05:00 [INF] INICIO | RegularizacionRepository - AddRegularizacionAsync
2024-06-14 23:04:30.803 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-06-14 23:04:30.977 -05:00 [INF] FIN | Database - ExecuteScalarAsync
2024-06-14 23:04:30.977 -05:00 [INF] FIN | RegularizacionRepository - AddRegularizacionAsync
2024-06-14 23:07:05.439 -05:00 [INF] INICIO | RegularizacionRepository - AddRegularizacionAsync
2024-06-14 23:07:08.753 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-06-14 23:07:08.774 -05:00 [INF] FIN | Database - ExecuteScalarAsync
2024-06-14 23:07:08.774 -05:00 [INF] FIN | RegularizacionRepository - AddRegularizacionAsync
2024-06-14 23:12:57.265 -05:00 [INF] INICIO | RegularizacionRepository - AddRegularizacionAsync
2024-06-14 23:13:21.127 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-06-14 23:13:21.157 -05:00 [INF] FIN | Database - ExecuteScalarAsync
2024-06-14 23:13:21.157 -05:00 [INF] FIN | RegularizacionRepository - AddRegularizacionAsync
2024-06-14 23:15:32.497 -05:00 [INF] INICIO | RegularizacionRepository - AddRegularizacionAsync
2024-06-14 23:16:41.547 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-06-14 23:16:41.563 -05:00 [INF] FIN | Database - ExecuteScalarAsync
2024-06-14 23:16:41.564 -05:00 [INF] FIN | RegularizacionRepository - AddRegularizacionAsync
2024-06-14 23:19:50.406 -05:00 [INF] INICIO | RegularizacionRepository - AddRegularizacionAsync
2024-06-14 23:25:02.366 -05:00 [INF] INICIO | RegularizacionRepository - AddRegularizacionAsync
2024-06-14 23:25:10.026 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-06-14 23:25:10.173 -05:00 [INF] FIN | Database - ExecuteScalarAsync
2024-06-14 23:25:10.173 -05:00 [INF] FIN | RegularizacionRepository - AddRegularizacionAsync
