2024-06-15 14:48:58.341 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 14:48:58.828 -05:00 [ERR] Exception | Database - ExecuteReaderAsync:
El valor 'POR HACER' no es válido para la enumeración 'EstadosType'.
2024-06-15 14:48:58.851 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:48:59.005 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 14:48:59.023 -05:00 [ERR] Exception | Database - ExecuteReaderAsync:
El valor 'POR HACER' no es válido para la enumeración 'EstadosType'.
2024-06-15 14:48:59.036 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:49:56.628 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 14:49:56.660 -05:00 [ERR] Exception | Database - ExecuteReaderAsync:
El valor 'POR HACER' no es válido para la enumeración 'EstadosType'.
2024-06-15 14:49:56.673 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:52:12.077 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 14:52:12.311 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:52:12.311 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 14:52:12.335 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 14:52:12.348 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:52:12.348 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 14:52:22.640 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 14:52:22.659 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:52:22.660 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 14:52:22.710 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 14:52:22.719 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:52:22.719 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 14:58:26.346 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 14:58:26.366 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:58:26.366 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 14:58:27.471 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 14:58:27.476 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:58:27.476 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:00:16.947 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:01:13.211 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:02:17.373 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:02:24.045 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:02:25.154 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:02:34.789 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:03:51.450 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:03:51.469 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:03:51.469 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:03:51.551 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:03:51.561 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:03:51.561 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:04:06.268 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:04:06.272 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:04:06.272 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:04:06.386 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:04:06.394 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:04:06.395 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:05:25.952 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:05:25.996 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:05:25.996 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:05:26.023 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:05:26.030 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:05:26.030 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:13:01.155 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:13:01.453 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:13:01.453 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:13:01.482 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:13:01.493 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:13:01.493 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:13:03.019 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:13:03.023 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:13:03.023 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:13:04.011 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:13:04.028 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:13:04.028 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:21:04.647 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:21:04.686 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:21:04.686 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:21:04.744 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:21:04.751 -05:00 [INF] FIN | Database - ExecuteReaderAsync
