2024-05-16 00:00:32.675 -05:00 [INF] INICIO | ClienteRepository - DeleteClienteAsync
2024-05-16 00:00:49.225 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-05-16 00:00:49.360 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-05-16 00:00:49.360 -05:00 [INF] FIN | ClienteRepository - DeleteClienteAsync
2024-05-16 13:42:06.520 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 14:00:19.357 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-05-16 14:00:19.572 -05:00 [ERR] Exception | Database - ExecuteScalarAsync:
Object must implement IConvertible.
2024-05-16 14:00:19.586 -05:00 [INF] FIN | Database - ExecuteScalarAsync
2024-05-16 14:01:11.854 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-05-16 14:03:50.081 -05:00 [ERR] Exception | Database - ExecuteScalarAsync:
Object must implement IConvertible.
2024-05-16 14:03:50.096 -05:00 [INF] FIN | Database - ExecuteScalarAsync
2024-05-16 14:04:03.146 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-05-16 14:18:32.246 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-05-16 14:18:32.393 -05:00 [INF] FIN | Database - ExecuteScalarAsync
2024-05-16 14:20:56.927 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-05-16 14:20:56.955 -05:00 [INF] FIN | Database - ExecuteScalarAsync
2024-05-16 14:22:30.691 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-05-16 14:22:30.718 -05:00 [INF] FIN | Database - ExecuteScalarAsync
2024-05-16 14:39:13.202 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-05-16 14:39:13.376 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-05-16 14:39:31.594 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-05-16 14:39:31.598 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-05-16 14:39:47.203 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-05-16 14:39:47.204 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-05-16 14:40:58.799 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
