2024-06-12 21:30:50.062 -05:00 [INF] INICIO | UsuarioRepository - AddUsuarioAsync
2024-06-12 21:30:50.255 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-06-12 21:30:50.842 -05:00 [WRN] SqlException | Database - ExecuteScalarAsync:
Cannot roll back THROW. No transaction or savepoint of that name was found.
Transaction count after EXECUTE indicates a mismatching number of BEGIN and COMMIT statements. Previous count = 0, current count = 1.
2024-06-12 21:30:50.855 -05:00 [INF] FIN | Database - ExecuteScalarAsync
2024-06-12 21:33:21.010 -05:00 [INF] INICIO | UsuarioRepository - AddUsuarioAsync
2024-06-12 21:33:21.010 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-06-12 21:33:21.035 -05:00 [INF] FIN | Database - ExecuteScalarAsync
2024-06-12 21:47:18.809 -05:00 [INF] FIN | UsuarioRepository - AddUsuarioAsync
2024-06-12 21:47:45.827 -05:00 [INF] INICIO | UsuarioRepository - AddUsuarioAsync
2024-06-12 21:47:45.827 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-06-12 21:47:45.872 -05:00 [WRN] SqlException | Database - ExecuteScalarAsync:
Cannot roll back THROW. No transaction or savepoint of that name was found.
Transaction count after EXECUTE indicates a mismatching number of BEGIN and COMMIT statements. Previous count = 0, current count = 1.
2024-06-12 21:47:45.885 -05:00 [INF] FIN | Database - ExecuteScalarAsync
2024-06-12 22:12:50.089 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:12:50.247 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 22:12:50.247 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:12:52.189 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:12:52.192 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 22:12:52.194 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:12:55.236 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
