2024-06-15 13:56:17.036 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 13:56:17.036 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 13:56:17.036 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 13:56:17.682 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 13:56:17.682 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 13:56:17.682 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 13:56:17.682 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 13:56:17.682 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 13:56:17.684 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 13:56:17.717 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 13:56:17.726 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 13:56:17.726 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 13:56:17.732 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 13:56:17.734 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 13:56:17.734 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:24:42.193 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:24:42.216 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:24:42.216 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:24:42.219 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:24:42.221 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:24:42.221 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:24:42.223 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:24:42.225 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:24:42.225 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:24:43.154 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:24:43.157 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:24:43.157 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:24:43.159 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:24:43.161 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:24:43.161 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:24:43.164 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:24:43.166 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:24:43.167 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:24:44.128 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:24:44.129 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:24:44.129 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:24:44.129 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:24:44.131 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:24:44.131 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:38:17.653 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:38:17.655 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:38:17.661 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:38:17.697 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:38:17.697 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:38:17.698 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:38:17.698 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:38:17.698 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:38:17.698 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:38:17.704 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:38:17.707 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:38:17.707 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:38:17.709 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:38:17.712 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:38:17.713 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:38:45.311 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:38:45.313 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:38:45.313 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:38:45.319 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:38:45.319 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:38:45.322 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:38:45.322 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:38:45.326 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:38:45.326 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:38:45.328 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:38:45.332 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:38:45.332 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:38:45.337 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
