2024-06-13 16:26:06.140 -05:00 [INF] INICIO | ViviendaRepository - AddViviendaAsync
2024-06-13 16:26:06.203 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-06-13 16:26:06.398 -05:00 [INF] FIN | Database - ExecuteScalarAsync
2024-06-13 16:26:13.349 -05:00 [INF] FIN | ViviendaRepository - AddViviendaAsync
2024-06-13 16:28:13.640 -05:00 [INF] INICIO | ViviendaITRespository - AddViviendaUsuarioAsync
2024-06-13 16:28:13.640 -05:00 [INF] INICIO | ViviendaITRespository - AddViviendaUsuarioAsync
2024-06-13 16:28:13.640 -05:00 [INF] INICIO | ViviendaITRespository - AddViviendaUsuarioAsync
2024-06-13 16:28:13.640 -05:00 [INF] INICIO | ViviendaITRespository - AddViviendaUsuarioAsync
2024-06-13 16:28:13.643 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-06-13 16:28:13.643 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-06-13 16:28:13.643 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-06-13 16:28:13.643 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-06-13 16:28:13.705 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-06-13 16:28:13.705 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-06-13 16:28:13.705 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-06-13 16:28:13.706 -05:00 [INF] FIN | ViviendaITRespository - AddViviendaUsuarioAsync
2024-06-13 16:28:13.706 -05:00 [INF] FIN | ViviendaITRespository - AddViviendaUsuarioAsync
2024-06-13 16:28:13.706 -05:00 [INF] FIN | ViviendaITRespository - AddViviendaUsuarioAsync
2024-06-13 16:28:13.716 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-06-13 16:28:13.717 -05:00 [INF] FIN | ViviendaITRespository - AddViviendaUsuarioAsync
2024-06-13 16:41:38.632 -05:00 [INF] INICIO | ViviendaRepository - AddViviendaAsync
2024-06-13 16:41:38.632 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-06-13 16:41:38.695 -05:00 [INF] FIN | Database - ExecuteScalarAsync
2024-06-13 16:41:52.341 -05:00 [INF] FIN | ViviendaRepository - AddViviendaAsync
2024-06-13 16:41:52.368 -05:00 [INF] INICIO | ViviendaITRespository - AddViviendaUsuarioAsync
2024-06-13 16:41:52.370 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-06-13 16:41:52.373 -05:00 [INF] INICIO | ViviendaITRespository - AddViviendaUsuarioAsync
2024-06-13 16:41:52.373 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-06-13 16:41:56.139 -05:00 [INF] INICIO | ViviendaITRespository - AddViviendaUsuarioAsync
2024-06-13 16:41:56.139 -05:00 [INF] INICIO | ViviendaITRespository - AddViviendaUsuarioAsync
2024-06-13 16:41:56.141 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
