2024-06-15 13:56:17.047 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 13:56:17.801 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 13:56:17.801 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 14:24:44.913 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 14:24:44.954 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:24:44.954 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 14:38:17.662 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 14:38:17.708 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:38:17.708 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 14:38:45.320 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 14:38:45.371 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:38:45.371 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 14:39:25.836 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 14:39:25.869 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:39:25.869 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 14:40:21.833 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 14:40:21.917 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:40:21.917 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 14:41:02.259 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 14:41:02.300 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:41:02.300 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 14:41:05.132 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 14:41:05.167 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:41:05.167 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 14:48:52.174 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 14:48:52.416 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:48:52.417 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 14:52:12.098 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 14:52:12.356 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:52:12.357 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 14:52:22.663 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 14:52:22.722 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:52:22.722 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 15:03:51.479 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 15:03:51.541 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:03:51.541 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 15:04:06.298 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 15:04:06.337 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:04:06.337 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 15:05:25.956 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 15:05:26.023 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:05:26.023 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 15:13:01.207 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 15:13:01.521 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:13:01.522 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 15:21:04.690 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 15:21:04.739 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:21:04.739 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 15:21:43.407 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 15:21:43.449 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:21:43.449 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 15:23:03.316 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 15:23:03.379 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:23:03.379 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 15:24:31.456 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 15:24:31.746 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:24:31.746 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 15:25:00.955 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 15:25:00.988 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:25:00.988 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 15:25:19.485 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 15:25:19.525 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:25:19.525 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 16:35:49.036 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 16:35:49.102 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 16:35:49.102 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 16:37:51.459 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 16:37:51.506 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 16:37:51.506 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 16:38:59.164 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 16:38:59.190 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 16:38:59.190 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 16:41:07.334 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 16:41:07.367 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 16:41:07.367 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 16:47:29.234 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 16:47:29.301 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 16:47:29.301 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 16:55:11.867 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 16:55:11.908 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 16:55:11.908 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:00:07.285 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:00:07.323 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:00:07.323 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:00:12.179 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:00:12.211 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:00:12.211 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:00:20.973 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:00:21.008 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:00:21.008 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:03:55.180 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:03:55.209 -05:00 [INF] FIN | Database - ExecuteReaderAsync
